state,participant,segment,duration_s,eda_mean,eda_std,eda_min,eda_max,eda_range,hr_mean,hr_std,hr_min,hr_max,hr_range,acc_mean,acc_std,bvp_mean,bvp_std,temp_mean,temp_std,ibi_mean,ibi_std,ibi_rmssd
STRESS,S01,0,247.0,0.5318157226720647,0.0224753120367618,0.479485,0.615306,0.13582100000000003,65.8634008097166,4.741766076000957,57.38,75.07,17.68999999999999,64.23030091271826,1.0003725554246552,0.019526821862348016,55.91827280340553,33.449230769230766,0.08583370246211978,0.964527027027027,0.13073563184947073,0.11659740126248262
STRESS,S01,1,175.0,0.5545781057142857,0.018113568885710953,0.514081,0.701155,0.18707399999999996,68.96891428571429,5.2870795036926905,59.33,76.57,17.239999999999995,63.44756629138342,0.5487096160834067,0.04748035714285707,38.87721277705122,33.751714285714286,0.06606860997848989,0.84234375,0.1369501612985085,0.09938107471427161
STRESS,S01,2,105.0,0.6313234761904761,0.06449470470498152,0.581991,1.263728,0.6817369999999999,53.8072380952381,1.8721657920265684,52.32,59.02,6.700000000000003,62.97321762023489,0.4058898838941505,-0.14292261904761905,37.29281518156857,33.891523809523804,0.030730191525627924,1.16953125,0.11490219601224991,0.17076051840936737
STRESS,S01,3,440.0,0.6422071051136363,0.01728767082981976,0.592311,0.724288,0.131977,57.76263636363636,8.760719763630126,49.37,80.62,31.250000000000007,62.78979421556669,0.5723078824613923,-0.0042240767045454,45.60252474509099,33.833,0.05629952365372493,1.1398318527918783,0.18348969971711718,0.18047603158072695
STRESS,S01,4,125.0,0.6733293619999999,0.004677308208249272,0.661503,0.685848,0.02434500000000006,58.88528,2.979719336044924,54.83,63.98,9.149999999999999,63.863222391234224,0.09830340860148733,0.08384499999999996,40.60564902376238,33.79304,0.014545047267025312,1.0252878289473684,0.17351133269589325,0.14397627119309164
STRESS,S01,5,307.0,0.7101527027687297,0.039369209703972965,0.666628,1.581499,0.914871,62.642312703583066,10.879905761288981,50.35,86.08,35.73,64.59592773710729,0.576843739333665,-0.054828481270358366,39.36228354284787,32.91960912052117,0.431683142840419,1.059289383561644,0.23193592309415506,0.13579467576277518
STRESS,S01,7,38.0,0.7741672828947369,0.029255786159686194,0.764009,1.124063,0.360054,69.42736842105263,2.6250771258950674,63.92,72.53,8.61,63.938958837528354,0.08712203294628441,-0.3429276315789471,54.084772621363875,33.24894736842106,0.025832402509070616,1.1785714285714286,0.12012164327744385,0.13501543121683043
STRESS,S01,8,37.0,0.778433,0.005051511432903697,0.767853,0.797324,0.029471000000000025,62.03783783783783,1.0540171164699093,60.52,64.45,3.9299999999999997,63.97236613220414,0.16252910331189224,0.15987753378378378,31.31227979817165,33.302432432432425,0.02341233278670992,0.83828125,0.09234295684938565,0.0899732690566306
STRESS,S01,9,42.0,0.7966299464285714,0.011979934317561274,0.784511,0.936989,0.152478,67.8552380952381,1.3385497448735828,64.9,69.87,4.969999999999999,64.0224089750883,0.9043733367108641,0.13930803571428566,50.52820928328405,33.35142857142857,0.020303814862215535,1.0640625,0.15879951245595814,0.1544163237538916
STRESS,S01,10,32.0,0.80122803125,0.0035665150574858678,0.792199,0.808856,0.016657000000000033,64.36375000000001,2.1302710361594834,60.53,66.93,6.400000000000006,63.960003319256785,0.05943143836271084,-0.36013183593749987,46.15485170563272,33.40124999999999,0.014947825928876021,1.084375,0.12659143187830685,0.18436322937945684
STRESS,S03,0,187.0,1.068677347593583,0.13509280867654336,0.847296,1.330457,0.48316099999999995,67.79155080213904,2.4568233590294235,63.22,71.25,8.030000000000001,61.2859941566724,0.13501636347786275,-0.00618064839572192,39.37330305731073,31.205080213903745,0.0949718167255252,0.8732638888888888,0.07194080790358827,0.04649520252929568
STRESS,S03,1,87.0,1.322988896551724,0.22352995367487463,0.687129,1.831457,1.1443279999999998,71.61517241379309,1.001603154108183,69.62,73.55,3.9299999999999926,61.292499812549956,0.1653889530857641,0.01538613505747141,93.40710365344604,31.132528735632185,0.04830978556317577,0.8110608552631579,0.05852806798759575,0.048580099234837575
STRESS,S03,2,104.0,2.6503255985576923,0.42247698435420017,1.520094,3.245621,1.7255269999999998,80.83586538461539,5.2290833530025065,71.05,86.53,15.480000000000004,61.353046849194364,0.27377260994458436,-0.1271334134615384,68.27640657252665,31.10884615384615,0.05676042249781245,0.7864583333333334,0.01948779888944761,0.024705294220065465
STRESS,S03,3,256.0,1.9278621982421875,0.670605502740944,1.033188,3.337877,2.304689,69.0693359375,2.563110740564285,65.23,75.92,10.689999999999998,61.24760135095852,0.20579037934225583,0.05815734863281262,60.029335472052395,31.146171874999997,0.22974721534544074,0.8826650943396226,0.056794618574718014,0.06709313001521165
STRESS,S03,4,128.0,2.991433830078125,0.9440475154689297,1.085722,4.394697,3.3089749999999998,102.33703125,24.3560536738102,68.68,138.65,69.97,61.179146729566746,0.11171261364875842,0.05483520507812534,41.37225564765821,31.433906250000003,0.03143033902040305,0.8125,0.11144798920068051,0.15520483776824312
STRESS,S03,5,295.0,3.377146707627119,1.066594897705309,1.684303,5.164641,3.4803379999999997,77.38911864406779,16.56890274599566,67.38,136.48,69.1,61.21695263228978,0.17537270452762652,-0.042563029661017056,68.82156189384406,31.591627118644062,0.17130425883523037,0.8509868421052632,0.0702004050297681,0.06674030106243345
STRESS,S03,6,34.0,3.2653006764705883,0.9996529486757912,1.790654,4.66792,2.8772659999999997,78.93029411764705,0.9764656714971899,77.18,80.18,3.0,61.34857673075041,0.13876450369314966,-0.1765441176470581,89.95617121935872,31.995588235294115,0.0328267445189035,0.796875,0.0,
